"rec","rep","D","D_ends","D_theory","R","R_theory","H","site","spp","abd","pie","R2_log10","R2_log10_sq","HL0_log10","HL0_log10_sq","D_theory_sq"
"rr201611_004_Osprey_dem_low",1,2.36644590943331,2.35821044525508,2.35821044525508,1.40486723483791,1.10149433710976,0.377458810806274,"Osprey",NA,NA,NA,-0.671029964542991,0.450281213314567,0.630474552138765,0.397498160894576,5.56115650411016
"rr201611_004_Osprey_dem_low",2,2.31743784348741,2.30936792682228,2.30936792682228,1.62756613326087,1.17187511868545,0.591457843780518,"Osprey",NA,NA,NA,-0.427952138927968,0.183143033213023,0.825528780506491,0.681497767444535,5.33318022143544
"rr201611_004_Osprey_dem_low",3,2.4219598957119,2.4088949709352,2.4088949709352,1.65951664536403,1.19821907301918,0.452589988708496,"Osprey",NA,NA,NA,-0.360783587455266,0.130164796977092,0.709309927954036,0.50312057389416,5.8027749809969
"rr201611_004_Osprey_dem_low",4,2.34530887188457,2.3252781627879,2.3252781627879,1.44916868385885,1.12922092656054,0.480539798736572,"Osprey",NA,NA,NA,-0.560446423351375,0.314100193447348,0.735334346976067,0.540716601842718,5.40691853433827
"rr201611_004_Osprey_dem_low",5,2.31546687857312,2.28354072694723,2.28354072694723,1.41046033492877,1.09904581951155,0.482728242874146,"Osprey",NA,NA,NA,-0.682141931491338,0.465317614698733,0.737307693556804,0.543622634978054,5.21455825162668
"rr201611_004_Osprey_dem_low",6,2.42789730733993,2.43796102315068,2.43796102315068,1.48215985795657,1.12694435647272,0.322131156921387,"Osprey",NA,NA,NA,-0.568630473296999,0.323340615161969,0.561637717171193,0.315436925349269,5.94365395040191
"rr201611_004_Osprey_dem_low",7,2.33001555205313,2.29812319989411,2.29812319989411,1.70701313990467,1.18075966878706,0.631945371627808,"Osprey",NA,NA,NA,-0.404290656440498,0.163450934885089,0.854284522242377,0.729802044942887,5.28137024189154
"rr201611_004_Osprey_dem_low",8,2.35556827246101,2.34756994110113,2.34756994110113,1.44438373925696,1.1330880695453,0.451828956604004,"Osprey",NA,NA,NA,-0.546852087687934,0.299047205808652,0.708579045162932,0.502084263244012,5.51108462836156
"rr201611_004_Osprey_dem_low",9,2.38420972439675,2.37010828686272,2.37010828686272,1.38907568788594,1.11110627338519,0.379840135574341,"Osprey",NA,NA,NA,-0.629751322527093,0.396586728224623,0.633205837108903,0.400949632148787,5.61741329145534
"rr201611_004_Osprey_dem_low",10,2.46299912530977,2.46025600255259,2.46025600255259,1.37807954855777,1.11608146288796,0.284405708312988,"Osprey",NA,NA,NA,-0.609704744706767,0.371739875717945,0.507543293702874,0.257600194982762,6.05285959809605
"rr201611_004_Osprey_dem_low",11,2.43551146799315,2.42507820271365,2.42507820271365,1.45009360831899,1.13393180117046,0.346553802490234,"Osprey",NA,NA,NA,-0.543935754962482,0.295866105526605,0.59337565323996,0.35209466585795,5.88100428927687
"rr201611_004_Osprey_dem_low",12,2.3576906032055,2.34246231039801,2.34246231039801,1.66568199077203,1.19339777691297,0.562175989151001,"Osprey",NA,NA,NA,-0.372431123432442,0.138704941701151,0.803477277532725,0.6455757355114,5.48712967563518
"rr201611_004_Osprey_dem_low",13,2.3954082389651,2.38134420461576,2.38134420461576,1.46469711311874,1.13419062028401,0.403684854507446,"Osprey",NA,NA,NA,-0.543044632756155,0.294897473165267,0.659647440631994,0.435134745932341,5.67080022085707
"rr201611_004_Osprey_dem_low",14,2.24929042317055,2.24879734964365,2.24879734964365,1.63747336164615,1.15664580445352,0.694091081619263,"Osprey",NA,NA,NA,-0.471302407776293,0.222125959575731,0.895021449009574,0.801063394187198,5.05708951976431
"rr201611_004_Osprey_dem_low",15,2.29436592192898,2.28690861371667,2.28690861371667,1.97300603061696,1.20652383098023,0.7063889503479,"Osprey",NA,NA,NA,-0.341321205173059,0.116500165100789,0.902648882017928,0.814775004208215,5.2299510074915
